"Date ","Day","Quarter","Months","Years","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","No of trades "
"08/ Apr 2024","Monday","Q2","April","2024","EQ","3240.95","3243.50","3197.20","3224.80","3236.00","3224.55","3216.90","3350.00","1760.60","5,77,440","37073.00"
"05/ Apr 2024","Friday","Q2","April","2024","EQ","3211.10","3234.00","3178.95","3210.80","3217.90","3224.80","3215.34","3350.00","1671.55","7,55,607","37497.00"
"04/ Apr 2024","Thursday","Q2","April","2024","EQ","3250.00","3273.00","3201.70","3233.45","3220.00","3210.80","3234.57","3350.00","1671.55","14,03,826","99323.00"
"03/ Apr 2024","Wednesday","Q2","April","2024","EQ","3250.00","3260.15","3222.00","3268.75","3238.00","3233.45","3238.76","3350.00","1671.55","11,53,109","55622.00"
"02/ Apr 2024","Tuesday","Q2","April","2024","EQ","3258.95","3285.00","3240.00","3252.10","3267.35","3268.75","3259.76","3350.00","1671.55","8,68,829","55071.00"
"01/ Apr 2024","Monday","Q2","April","2024","EQ","3230.20","3291.80","3207.85","3197.10","3255.20","3252.10","3247.41","3350.00","1671.55","12,92,646","71000.00"
"28/ Mar 2024","Thursday","Q1","March","2024","EQ","3134.00","3237.00","3096.75","3122.10","3197.00","3197.10","3178.72","3350.00","1573.00","23,27,053","1,41,506"
"27/ Mar 2024","Wednesday","Q1","March","2024","EQ","3115.00","3138.45","3106.25","3109.95","3124.25","3122.10","3122.82","3350.00","1573.00","9,00,231","66957.00"
"26/ Mar 2024","Tuesday","Q1","March","2024","EQ","3100.50","3171.95","3089.10","3107.70","3112.00","3109.95","3130.27","3350.00","1573.00","9,37,103","66405.00"
"22/ Mar 2024","Friday","Q1","March","2024","EQ","3066.55","3128.95","3048.05","3066.50","3103.00","3107.70","3095.08","3350.00","1573.00","9,51,557","63264.00"
"21/ Mar 2024","Thursday","Q1","March","2024","EQ","3089.55","3107.10","3059.60","3051.45","3071.65","3066.50","3080.51","3350.00","1573.00","11,75,751","67248.00"
"20/ Mar 2024","Wednesday","Q1","March","2024","EQ","3075.00","3083.20","3021.10","3052.70","3050.10","3051.45","3046.55","3350.00","1573.00","9,66,481","64232.00"
